row_number,id,weight,originHubId,destinationHubId,priority,reasons
43,PKG-000042,112.97,WH-069,,URGENT,Missing foreign key: destinationHubId
57,PKG-000056,170.06,WH-009,,LOW,Missing foreign key: destinationHubId
59,PKG-000058,277.61,,WH-011,LOW,Missing foreign key: originHubId
60,PKG-000059,141.69,WH-001,,LOW,Missing foreign key: destinationHubId
145,PKG-000144,443.59,WH-038,,STANDARD,Missing foreign key: destinationHubId
155,PKG-000154,188.59,,WH-067,STANDARD,Missing foreign key: originHubId
164,PKG-000163,155.41,WH-069,,STANDARD,Missing foreign key: destinationHubId
166,PKG-000165,492.23,WH-083,,STANDARD,Missing foreign key: destinationHubId
182,PKG-000181,214.3,,WH-044,LOW,Missing foreign key: originHubId
259,PKG-000258,87.39,,WH-015,STANDARD,Missing foreign key: originHubId
263,PKG-000262,262.01,WH-045,,URGENT,Missing foreign key: destinationHubId
277,PKG-000276,263.19,,WH-040,LOW,Missing foreign key: originHubId
293,PKG-000292,484.6,,WH-062,LOW,Missing foreign key: originHubId
315,PKG-000314,44.77,,WH-012,LOW,Missing foreign key: originHubId
321,PKG-000320,268.71,WH-044,,LOW,Missing foreign key: destinationHubId
331,PKG-000330,351.44,WH-093,,URGENT,Missing foreign key: destinationHubId
350,PKG-000349,491.97,WH-053,,STANDARD,Missing foreign key: destinationHubId
366,PKG-000365,359.03,,WH-022,STANDARD,Missing foreign key: originHubId
369,PKG-000368,20.43,,WH-087,STANDARD,Missing foreign key: originHubId
391,PKG-000390,212.31,WH-024,,STANDARD,Missing foreign key: destinationHubId
439,PKG-000438,159.67,WH-034,,STANDARD,Missing foreign key: destinationHubId
445,PKG-000444,321.38,,WH-026,LOW,Missing foreign key: originHubId
461,PKG-000460,403.51,WH-027,,LOW,Missing foreign key: destinationHubId
473,PKG-000472,108.49,WH-020,,URGENT,Missing foreign key: destinationHubId
485,PKG-000484,444.83,,WH-027,STANDARD,Missing foreign key: originHubId
515,PKG-000514,211.92,,WH-039,URGENT,Missing foreign key: originHubId
530,PKG-000529,392.92,,WH-079,LOW,Missing foreign key: originHubId
567,PKG-000566,146.4,,WH-081,URGENT,Missing foreign key: originHubId
586,PKG-000585,307.36,WH-034,,STANDARD,Missing foreign key: destinationHubId
598,PKG-000597,476.73,,WH-047,LOW,Missing foreign key: originHubId
656,PKG-000655,186.45,WH-045,,URGENT,Missing foreign key: destinationHubId
666,PKG-000665,32.43,,WH-007,URGENT,Missing foreign key: originHubId
714,PKG-000713,26.29,,WH-098,LOW,Missing foreign key: originHubId
732,PKG-000731,272.94,,WH-016,URGENT,Missing foreign key: originHubId
816,PKG-000815,110.77,,WH-100,STANDARD,Missing foreign key: originHubId
918,PKG-000917,183.71,WH-047,,LOW,Missing foreign key: destinationHubId
924,PKG-000923,349.12,,WH-018,URGENT,Missing foreign key: originHubId
956,PKG-000955,178.56,WH-014,,LOW,Missing foreign key: destinationHubId
978,PKG-000977,153.76,,WH-090,URGENT,Missing foreign key: originHubId
979,PKG-000978,417.76,,WH-093,URGENT,Missing foreign key: originHubId
1000,PKG-000999,435.15,WH-057,,STANDARD,Missing foreign key: destinationHubId
1003,PKG-001002,31.86,WH-022,,STANDARD,Missing foreign key: destinationHubId
1004,PKG-001003,315.65,WH-059,,LOW,Missing foreign key: destinationHubId
1039,PKG-001038,64.1,,WH-053,STANDARD,Missing foreign key: originHubId
1055,PKG-001054,303.37,,WH-080,URGENT,Missing foreign key: originHubId
1126,PKG-001125,168.06,WH-054,,STANDARD,Missing foreign key: destinationHubId
1151,PKG-001150,286.95,WH-085,,URGENT,Missing foreign key: destinationHubId
1172,PKG-001171,462.69,WH-071,,URGENT,Missing foreign key: destinationHubId
1176,PKG-001175,407.64,WH-063,,STANDARD,Missing foreign key: destinationHubId
1184,PKG-001183,98.85,,WH-005,LOW,Missing foreign key: originHubId
1228,PKG-001227,,,WH-088,STANDARD,Missing foreign key: originHubId
1275,PKG-001274,315.29,WH-078,,URGENT,Missing foreign key: destinationHubId
