row_number,routeId,originHubId,destinationHubId,distanceKm,typicalDelayMin,reasons
118,RT-00117,,WH-059,1222.77,57,Missing foreign key: originHubId
131,RT-00130,,WH-094,506.69,174,Missing foreign key: originHubId
173,RT-00172,WH-022,,880.34,198,Missing foreign key: destinationHubId
174,RT-00173,WH-033,,403.75,176,Missing foreign key: destinationHubId
214,RT-00213,,WH-072,244.09,92,Missing foreign key: originHubId
217,RT-00216,,WH-012,477.43,25,Missing foreign key: originHubId
223,RT-00222,,WH-061,941.61,225,Missing foreign key: originHubId
247,RT-00246,,WH-039,1445.69,303,Missing foreign key: originHubId
271,RT-00270,,WH-085,867.04,167,Missing foreign key: originHubId
299,RT-00298,WH-092,,1065.6,99,Missing foreign key: destinationHubId
388,RT-00387,WH-078,,1415.43,,Missing foreign key: destinationHubId
422,RT-00421,,WH-016,313.26,332,Missing foreign key: originHubId
436,RT-00435,,WH-001,1101.24,30,Missing foreign key: originHubId
500,RT-00499,WH-078,,1397.3,102,Missing foreign key: destinationHubId
503,RT-00502,WH-080,,82.52,,Missing foreign key: destinationHubId
567,RT-00566,WH-090,,1392.79,88,Missing foreign key: destinationHubId
570,RT-00569,,WH-008,153.3,79,Missing foreign key: originHubId
589,RT-00588,,WH-031,,132,Missing foreign key: originHubId
661,RT-00660,WH-069,,819.0,157,Missing foreign key: destinationHubId
667,RT-00666,,WH-061,1234.76,202,Missing foreign key: originHubId
714,RT-00713,WH-028,,846.13,109,Missing foreign key: destinationHubId
730,RT-00729,,WH-031,1095.9,164,Missing foreign key: originHubId
745,RT-00744,WH-077,,262.7,80,Missing foreign key: destinationHubId
763,RT-00762,,WH-096,1364.36,338,Missing foreign key: originHubId
801,RT-00800,,WH-005,1079.5308725963316,48,Missing foreign key: originHubId
840,RT-00839,,WH-006,1182.48,261,Missing foreign key: originHubId
844,RT-00843,,WH-080,137.46,156,Missing foreign key: originHubId
889,RT-00888,,WH-053,1339.67,108,Missing foreign key: originHubId
898,RT-00897,,WH-058,296.49,128,Missing foreign key: originHubId
904,RT-00903,,WH-076,345.19,191,Missing foreign key: originHubId
909,RT-00908,,WH-043,671.78,234,Missing foreign key: originHubId
965,RT-00964,WH-053,,1292.95,183,Missing foreign key: destinationHubId
990,RT-00989,WH-052,,440.28,121,Missing foreign key: destinationHubId
1016,RT-01015,,WH-062,613.45,164,Missing foreign key: originHubId
1039,RT-01038,,WH-072,577.36,65,Missing foreign key: originHubId
1055,RT-01054,WH-018,,1430.59,55,Missing foreign key: destinationHubId
1096,RT-01095,,WH-093,531.61,102,Missing foreign key: originHubId
1155,RT-01154,,WH-038,637.9015762705902,347,Missing foreign key: originHubId
1207,RT-01206,WH-022,,170.97,339,Missing foreign key: destinationHubId
1217,RT-01216,,WH-049,1392.22,256,Missing foreign key: originHubId
1273,RT-01272,WH-007,,1259.45,220,Missing foreign key: destinationHubId
1329,RT-01328,,WH-005,1234.09,279,Missing foreign key: originHubId
1358,RT-01357,,WH-087,1499.2982399007303,284,Missing foreign key: originHubId
1380,RT-01380,,WH-080,29.96,89,Missing foreign key: originHubId
1393,RT-01393,,WH-037,859.79,325,Missing foreign key: originHubId
1409,RT-01409,,,475.91,88,Missing foreign key: originHubId | Missing foreign key: destinationHubId
1412,RT-01412,WH-012,,1088.18,104,Missing foreign key: destinationHubId
1424,RT-01424,WH-010,,1426.33,103,Missing foreign key: destinationHubId
1426,RT-01426,WH-063,,1358.146492325931,294,Missing foreign key: destinationHubId
1452,RT-01452,WH-097,,638.58,177,Missing foreign key: destinationHubId
1460,RT-01460,,WH-046,928.55,152,Missing foreign key: originHubId
1483,RT-01483,,WH-013,792.68,,Missing foreign key: originHubId
